GOES 5,12472,-129.58
Meteosat 2,12544,-74.3
Mage 1,20837,-142.68
Apple,12545,-166.14
Blok DM,12851,132.5
Ekran,12564,60.18
Blok DM,12850,-138.71
Raduga,12618,34.88
Himawari 2,12677,-98.77
FLTSATCOM F5,12635,-10.01
SBS 2,12855,77.89
Blok DM,14195,-49.24
Raduga,12897,81.76
OPS 4029,12930,-142.11
Satcom 3R,12967,-19.2
INTELSAT 503,12994,-1.26
Marecs 1,13010,176.95
Satcom 4,13035,104.29
Blok DM,14117,24.82
Ekran,13056,-133.62
Westar 4,13069,88.28
Transtage 38,13089,102.92
DSP F10,13086,-159.16
INTELSAT 504,13083,-141.6
Blok DM No. 35L,13899,87.92
Gorizont,13092,116.73
Insat 1A,13129,28.21
Blok DM,14114,-125.25
Kosmos-1366,13177,82.53
Westar 5,13269,-45.59
Anik D1,13431,169.42
Blok DM,14115,-71.18
Ekran,13554,96.46
INTELSAT 505,13595,95.71
Blok DM No. 37L,13630,59.34
Gorizont,13624,-53.96
IUS-2 SRM-2,13643,-28.9
DSCS II F-16,13636,25.82
DSCS III A-1,13637,-152.62
Aurora 1,13631,-105.18
SBS 3,13651,-133.05
Anik C3,13652,-108.38
Blok DM,13954,143.17
Raduga,13669,105.43
Sakura 2A,13782,-169.89
Blok DM,14086,-124.92
Ekran,13878,167.79
Blok DM,13983,93.85
Raduga,13974,65.6
Satcom 1R,13984,-104.29
GOES 6,14050,-104.67
INTELSAT 506,14077,-65.78
TDRS 1,13969,-57.43
ECS 1,14128,156.86
Palapa B1,14134,-171.36
Anik C2,14133,-119.27
Blok DM No. 39L,15141,-117.37
Gorizont,14160,-157.53
Galaxy 1,14158,115.59
Telstar 301,14234,152.42
Sakura 2B,14248,86.42
Blok DM,14333,2.1
Raduga,14307,117.19
Insat 1B,14318,76.89
Satcom 2R,14328,-72.08
Galaxy 2,14365,132.37
Blok DM,14394,-170.22
Ekran,14377,52.52
INTELSAT 507,14421,169.87
Blok DM No. 41L,14548,62.52
Gorizont,14532,-69.69
Yuri 2A,14659,128.8
OPS 0441,14675,3.26
Blok DM,17874,82
Raduga,14725,86.68
Blok DM,14948,-15.2
Kosmos-1540,14783,79.18
INTELSAT 508,14786,-56.15
Blok DM,15139,-69.38
Ekran,14821,13.69
Blok DM,14951,16.08
Kosmos-1546,14867,69.5
Shiyan Tongbu Tongxin Wx.,14899,135.06
DSP F11,14930,-141.92
Blok DM No. 46L,14943,-51.58
Gorizont,14940,60.03
Spacenet F1,14985,-151.63
Blok DM,15693,-156.39
Raduga,15057,22.54
Blok DM No. 48L,15181,55.59
Gorizont,15144,-34.71
Himawari 3,15152,-91
Star 27 S/N 0062,22266,-47.56
Telecom 1A,15159,-138.27
ECS 2,15158,39.14
Blok DM,17875,-86.64
Ekran,15219,-126.35
HGS-5 (SBS 4),15235,102.91
Telstar 302,15237,101.94
Leasat 2,15236,167.87
Galaxy 3,15308,-19.81
Marecs 2,15386,152.48
Anik D2,15383,56.66
Leasat 1,15384,-27.3
Spacenet F2,15385,83.6
NATO 3D,15391,-106.48
DSP F12,15453,-131.88
Blok DM No. 52L,15487,-63.5
Gorizont,15484,-140.25
USA  8,15543,72.83
IUS-11 SRM-2,15545,123.38
Brasilsat 1,15561,-170.69
Arabsat 1A,15560,-39.7
Blok DM,15581,20.24
Kosmos-1629,15574,-131.4
Blok DM,15630,125.1
Ekran,15626,-98.15
INTELSAT 510,15629,31.65
Anik C1,15642,-129.45
Telecom 1B,15678,-8.47
Gstar 1,15677,-105.1
Morelos 1 (Satmex 1),15824,-95.13
Telstar 303,15826,-115.37
Arabsat 1B,15825,-6.04
INTELSAT 511,15873,-67.38
Blok DM,15963,-37.83
Raduga,15946,-70.42
ASC 1,15994,-127.69
Aussat K1,15993,-98.27
Leasat 4,15995,-51.43
INTELSAT 512,16101,167.4
DSCS III B-4,16116,128.29
Blok DM2,16214,-48.81
Kosmos-1700,16199,85.2
Leasat 3,15643,-176.06
Blok DM,16339,-40.95
Raduga,16250,1.44
Morelos 2 (Satmex 2),16274,-44.75
Aussat K2,16275,-85.1
Satcom K2,16276,115.99
Satcom K1,16482,-168.94
Blok DM,16870,166.74
Raduga,16497,70.66
Shiyong Tongbu Tongxin Wx.,16526,93.22
Yuri 2B,16597,-161.97
Brasilsat 2,16650,9.93
Gstar 2,16649,-67.64
Blok DM,16676,-89.29
Kosmos-1738,16667,-31.25
Blok DM,16732,-60.45
Ekran,16729,121.15
Blok DM No. 60L,16797,-69.03
Gorizont,16769,102.24
Blok DM,17065,120.6
Raduga,17046,51.56
Blok DM No. 58L,17125,81.75
Gorizont,17083,-127.98
FLTSATCOM F7,17181,-100.33
GOES 7,17561,-174.2
Blok DM,17705,-157.87
Raduga,17611,29.77
Palapa B2P (Agila 1),17706,159.05
Blok DM No. 61L,17972,16.55
Gorizont,17969,151.54
Kiku 5,18316,-125.48
Blok DM,18331,-141.3
Ekran,18328,1.85
Aussat K3,18350,-176.38
Eutelsat I F4,18351,49.02
Blok DM2,18387,-65.09
Kosmos-1888,18384,-26.03
Blok DM2,18446,115.89
Kosmos-1894,18443,-175.38
TV-SAT,18570,-74.64
Blok DM2,18578,-179.12
Kosmos-1897,18575,68.34
DSP F13,18583,-150.23
Blok DM2,18634,112.81
Raduga,18631,-152.45
Blok DM2,18718,-32.27
Ekran-M,18715,-161.57
Sakura 3A,18877,16.39
Zhongxing 1,18922,88.79
Telecom 1C,18952,-36.78
Spacenet 3R,18951,-77.52
Blok DM No. 54L,19020,15.86
Gorizont,19017,11.95
Blok DM2,19076,-121.99
Kosmos-1940,19073,26.73
Blok DM,19094,-102.43
Ekran,19090,26.85
INTELSAT 513 (NSS 513),19121,143.37
Meteosat 3,19215,141.82
PAS 1,19217,43.04
Eutelsat I F-5,19331,-75.65
Insat 1C,19330,59.48
Blok DM2,19347,56.21
Kosmos-1961,19344,77.24
Blok DM2 No. 15L,19400,6.77
Gorizont,19397,115.46
SBS 5,19484,65.69
Sakura 3B,19508,56.75
IUS-7 SRM-2,19550,59.35
TDRS 3,19548,-49.75
Blok DM2,19777,114.17
Raduga,19596,99.94
TDF 1,19621,71.03
Blok DM2,19686,-106.32
Ekran-M,19683,52.46
Skynet 4B,19687,-16.6
Astra 1A,19688,6.84
Zhongxing 2,19710,37.3
Blok DM2 No. 20L,19776,-49.86
Gorizont,19765,165.67
INTELSAT 515,19772,-100.67
Meteosat 4,19876,-143.49
Mage 1,20800,-74
JCSAT 1,19874,60.42
IUS-9 SRM-2,19913,165.7
TDRS 4,19883,-45.32
Tele-X,19919,-65.75
Blok DM2,19931,93.37
Raduga,19928,56.1
USA 37,19976,44.07
Superbird A,20040,-58.28
Kopernikus,20041,130.5
DSP F14,20066,-144.96
Blok DM2,20086,143.99
Raduga-1,20083,179.73
Blok DM2 No. 25L,20110,-62.93
Gorizont,20107,105.38
Olympus,20122,95.17
TV-SAT 2,20168,-68.85
Gstar 3,19483,-106.31
Marcopolo 1 (Sirius 1),20193,25.52
Himawari 4,20217,-127.59
Star 27,20317,-133.25
FLTSATCOM F8,20253,-15.39
Blok DM2 No. 27L,20266,178.85
Gorizont,20263,35.55
INTELSAT 602,20315,178.03
USA 48,20355,90.61
IUS-5 SRM-2,20357,-30.15
Blok DM2,20370,-62.91
Raduga,20367,74.69
Blok DM2,20394,122.29
Kosmos-2054,20391,-25.12
Blok DM2 part,21648,-99.28
Skynet 4A,20401,12.49
JCSAT 2,20402,-74.17
Leasat 5,20410,97.3
Zhongxing 3,20473,53.94
Blok DM2,20502,139.09
Raduga,20499,-66.65
Asiasat 1,20558,-48.44
Palapa B2R (Newsat-1),20570,143.59
Insat 1D,20643,79.93
Blok DM No. 67L,20662,32.62
Gorizont,20659,81.38
INTELSAT 604,20667,78.14
Blok DM2,20696,87.25
Kosmos-2085,20693,70.2
Kopernikus 2,20706,-82.35
TDF 2,20705,-125.02
Marcopolo 2 (Thor 1),20762,101.79
Yuri 3A,20771,-48.85
Skynet 4C,20776,6.71
Eutelsat II F-1,20777,-15.07
SBS 6,20872,11.93
Galaxy VI,20873,-179.91
Blok DM2 No. 35L,20926,-44.03
Gorizont 32,20923,8.66
INMARSAT II F-1,20918,-141.99
DSP F15,20929,-39.38
USA 67,20963,74.2
Blok DM2 No. 45L,21046,20.48
Gorizont 33,20953,9
Satcom C1,20945,-156.87
Gstar 4,20946,-173.82
Blok DM2,21019,56.5
Raduga,21016,90.56
Blok DM2,21041,107.77
Raduga-1,21038,81.2
NATO 4A,21047,-135.67
Eutelsat II F-2,21056,-151.07
Italsat 1,21055,-34.2
Blok DM2,21129,54.3
Kosmos-2133,21111,77.72
Blok DM2,21135,-77.79
Raduga,21132,108.12
Meteosat 5,21140,66.87
Mage 1,21904,150.34
Astra 1B,21139,-165.29
INMARSAT II F-2,21149,-98.06
Anik E2,21222,-34.35
Spacenet 4,21227,157.12
Aurora 2,21392,128.42
Blok DM2 No. 50L,21536,76.48
Gorizont,21533,61.05
TDRS 5,21639,-167.24
IUS-15 SRM-2,21641,-15.88
INTELSAT 605,21653,-136.29
Yuri 3B,21668,106.07
Blok DM2,21703,-148.27
Kosmos-2155,21702,178.03
Anik E1,21726,34.99
Blok DM2 No. 55L,21762,116.19
Gorizont,21759,-150.57
INTELSAT 601,21765,47.54
Blok DM2,21792,31.54
Kosmos-2172,21789,-41.56
DSP F16,21805,-38.51
Eutelsat II F-3,21803,-146.77
INMARSAT II F-3,21814,-129.86
Telecom 2A,21813,10.84
Blok DM2,21824,-148.33
Raduga,21821,100.98
IABS-1,21877,-158.06
Transtage 5 debris,25000,-122.26
Transtage 5 debris,25001,88.64
Transtage 5 debris,30000,-159.48
Transtage 5 debris,33510,-119.51
Transtage 5 debris,33511,125.48
Transtage 5 debris,33512,-168.82
Transtage 5 debris,33513,-165.39
Superbird B1,21893,87.38
Arabsat 1C (Insat 2DT),21894,105.35
Galaxy V,21906,117.39
Blok DM2 No. 57L,21925,-89.56
Gorizont,21922,108.27
Telecom 2B,21939,-97.59
INMARSAT II F-4,21940,108.92
Palapa B4,21964,-54.16
INTELSAT 603,20523,-20.13
INTELSAT K (NSS K),21989,-51.81
USA 82,22009,-12.09
Insat 2A,22027,35.17
Eutelsat II F-4,22028,148.67
Blok DM2 No. 60L,22044,100.85
Gorizont,22041,-144.52
Optus B1,22087,161.45
Satcom C4,22096,-46.94
Kosmos-2209,22112,-105.27
Blok DM2,22115,-68.45
Satcom C3,22117,-79.15
Hispasat 1A,22116,-57.74
Kopernikus 3,22175,71.42
Blok DM2,22213,-177.87
Ekran-M,22210,89.38
Galaxy VII,22205,141.41
Blok DM2 No. 65L,22248,-165.87
Gorizont,22245,58.01
Superbird A1,22253,121.58
Blok DM2,22272,91.77
Kosmos-2224,22269,-7.46
IUS-13 SRM-2,22316,1.51
TDRS-6,22314,-171.56
Blok DM-2 No. 67L,22624,-171.39
Raduga,22557,45.5
UHF F/O F1,22563,85.21
Astra 1C,22653,1.97
HGS-4 (Galaxy 4H),22694,73.21
Insat 2B,22724,-163.88
Hispasat 1B,22723,166.14
UHF F/O F2,22787,29.06
ACTS,22796,-104.7
Blok DM-2 No. 36L,22839,139.62
Raduga,22836,77.59
INTELSAT 701,22871,179.98
Blok DM-2 No. 72L,22883,12.44
Gorizont,22880,-22.53
Blok DM-2 No. 85L,22910,136.9
AP-1,22907,9.67
Solidaridad 1 (Satmex 3),22911,-107.07
Meteosat 6,22912,67.16
Mage 1,23118,-3.1
USA 97,22915,56.77
NATO 4B,22921,34.79
Telstar 401,22927,-104.56
Thaicom 1,22931,-35.99
DirecTV 1,22930,-57.81
Blok DM-2M No. 13L,22966,0.46
Gals 1,22963,114.2
Blok DM-2 No. 83L,22984,26.33
Raduga-1,22981,55.35
Centaur TC-12,22989,75.15
Milstar DFS 1,22988,-38.99
Blok DM-2 No. 73L,23013,-150.94
Raduga,23010,97.48
Galaxy 1R,23016,114.63
GOES 8,23051,146.46
Blok DM2 No. 71L,23111,18.35
Rimsat-2,23108,-11.84
INTELSAT 702,23124,65.96
UHF F/O F3,23132,-28.05
Blok DM2,23171,-39.37
Kosmos-2282,23168,-174.63
Intelsat IS-2 (PAS 2),23175,169.07
BS-3N,23176,109.82
APSTAR 1,23185,141.81
DirecTV 2,23192,-26.83
Turksat 1B,23200,12.95
Brasilsat B1,23199,-68.06
Centaur TC-11,23247,-84.29
USA 105,23223,-26.21
Optus B3,23227,163.98
Blok DM2,23270,73.39
Kosmos-2291,23267,-17.39
INTELSAT 703 (NSS 703),23305,56.73
Thaicom 2,23314,78.43
Blok DM-2M,23322,-78.57
Ekspress-2,23319,146.03
Solidaridad 2 (Satmex 4),23313,-114.92
Blok DM2,23330,-83.99
Elektro,23327,82.02
Astra 1D,23331,31.27
Orion 1 (Telstar 11),23413,-123.78
Blok DM2,23429,169.87
Luch,23426,-131.03
DFH-3,23415,-48.9
DSP F17,23435,-49.41
Blok DM2,23451,-162.03
Raduga,23448,77.99
INTELSAT 704,23461,45.69
UHF F/O F4,23467,-176.54
Himawari-5,23522,-111.64
GMS AKM,23524,-48.97
INTELSAT 705,23528,-49.9
Brasilsat B2,23536,-92.06
Hot Bird 1,23537,63.81
AMSC 1 (MSAT-2),23553,-101.39
Centaur TC-17,23568,30.54
INTELSAT 706,23571,54.86
GOES 9,23581,-60.08
UHF F/O F5,23589,-100.51
DirecTV 3,23598,133.31
TDRS 7,23613,84.11
IUS-26 SRM-2,23615,178.9
Intelsat IS-4 (PAS 4),23636,-11.31
Mugunghwa 1,23639,-52.97
Blok DM2,23656,115.85
Kosmos-2319,23653,-107.01
N-STAR a,23651,-131.45
JCSAT 3,23649,-25.64
Telstar 402R (Telstar 4),23670,-120.08
Blok DM2,23683,131.01
Luch-1,23680,73.04
Astra 1E,23686,23.49
UHF F/O F6,23696,-105.56
Centaur TC-13,23713,69.59
Milstar DFS 2,23712,-150
ISO,23715,-26.49
Ariane H10-3,23716,-155.34
Blok DM2,23720,29.21
Gals 2,23717,-4.08
deb ISO,24700,103.62
Asiasat 2,23723,16.96
Insat 2C,23731,85.19
Telecom 2C,23730,3.82
Galaxy 3R,23741,-131.98
Echostar 1,23754,-77.21
Measat 1 (Africasat 1),23765,45.98
Intelsat IS-3R (PAS 3R),23764,-43.1
Mugunghwa 2,23768,74.83
Blok DM2,23778,173.99
Gorizont,23775,25.11
N-Star b,23781,64.18
HGS-3 (Palapa C1/Anatolia 1),23779,37.99
INTELSAT 707,23816,-53.07
INMARSAT III F-1,23839,64.43
Astra 1F,23842,50.96
Centaur TC-15,25349,-153.99
USA 118,23855,15.52
MSAT-1,23846,-106.51
Palapa C2,23864,150.47
Amos 1 (IS-24),23865,47.32
Blok DM2,23883,135.48
Gorizont,23880,-13.86
Galaxy 9,23877,-81.08
INTELSAT 709,23915,76.26
Apstar 1A,23943,129.95
Turksat 1C,23949,30.86
Arabsat IIA,23948,70.61
UHF F/O F7,23967,-23.34
Italsat F2,24208,108.33
Telecom 2D,24209,-7.89
Blok DM1,25339,-35.81
INMARSAT III F-2,24307,-15.47
Echostar II,24313,-65.53
Americom 1 (AMC 1 GE 1),24315,-103.04
Blok DM-2M,24438,89.15
Ekspress-6,24435,47.96
Measat 2 (Africasat 2),24653,5.69
Arabsat IIB,24652,30.4
Eutelsat W48 (Hot Bird 2),24665,48.12
INMARSAT III F3,24674,178
Americom 2 (GE 2),24713,-101.03
Nahuel 1A,24714,-71.84
DSP F18,24737,20.19
JCSAT R,24732,95.02
INTELSAT 801,24742,-30.73
DirecTV-6 (Tempo 2),24748,-135.81
BSAT 1a,24769,109.59
Thaicom 3,24768,39.84
GOES 10,24786,-95.47
Zhongxing 6,24798,104.99
Thor II,24808,5.09
Galaxy 25,24812,-93.13
INMARSAT III F4,24819,-54.06
Insat 2D,24820,7.13
Feng Yun 2A,24834,-176.19
FG-36 AKM,25611,164.99
INTELSAT 802,24846,32.92
PAS 6,24891,-96.68
Superbird C,24880,143.72
Blok DM-2,24897,-99.25
Kosmos-2345,24894,143.81
Agila 2 (ABS-5),24901,145.85
Meteosat 7,24932,57.38
Mage 1,25353,10.24
Intelsat IS-5,24916,168.94
Eutelsat W75 (Hot Bird 3),24931,75.09
Americom 3 (GE 3),24936,-87.02
INTELSAT 803 (NSS 5),24957,-20.09
Echostar 3,25004,-61.54
Apstar 2R (Telstar 10),25010,76.42
USA 135,25019,-130.12
IABS-6,25021,77.2
Blok DM-2M,25048,-158.18
Kupon,25045,63.59
Cakrawarta 1,25050,107.46
Sirius 2 (Astra 5A),25049,82.07
JCSAT 1B,25067,149.96
Astra 1G,25071,23.48
Galaxy 8i,25086,-119.21
INTELSAT 804,25110,52.96
Skynet 4D,25134,118.82
INMARSAT 3 F5,25153,24.8
Brasilsat B3,25152,-75.08
Hot Bird 4 (Atlantic Bird 4),25237,15.76
INTELSAT 806 (NSS 806),25239,-40.47
UHF F/O F8,25258,172.28
Blok DM-2,25318,-145.96
Kosmos-2350,25315,79.06
BSAT 1b,25312,-176.14
Nilesat 101,25311,-6.92
USA 139,25336,27.03
Echostar 4,25331,-76.92
Zhongwei 1,25354,87.46
Thor III,25358,-0.69
HGS-1 (PAS 22),25126,-142.65
INTELSAT 805,25371,-55.56
Xinnuo 1,25404,110.4
ST-1,25460,87.99
Astra 2A,25462,28.23
Intelsat IS-7,25473,68.65
Sirius 3,25492,4.95
Eutelsat W2,25491,15.08
